ID,TITLE,P_GENRE
0,ゴッド・ファーザー,リアル系  
1,スターウォーズ　帝国の逆襲,ファンタジー/SF系  
2,ダークナイト,リアル系  
3,ショーシャンクの空に,リアル系  
4,パルプ・フィクション,リアル系  
5,グッド・フェローズ,リアル系  
6,レイダース　失われたアーク,ファンタジー/SF系  
7,ジョーズ,リアル系  
8,スターウォーズ　新たなる希望,ファンタジー/SF系  
9,ロード・オブ・ザ・リング　旅の仲間,ファンタジー/SF系  
10,バック・トゥ・ザ・フューチャー,ファンタジー/SF系  
11,ゴッド・ファーザー　パート2,リアル系  
12,ブレード・ランナー,ファンタジー/SF系  
13,エイリアン,ファンタジー/SF系  
14,エイリアン2,ファンタジー/SF系  
15,ロード・オブ・ザ・リング　王の帰還,ファンタジー/SF系  
16,ファイト・クラブ,リアル系  
17,インセプション,ファンタジー/SF系  
18,ジュラシック・パーク,ファンタジー/SF系  
19,ダイ・ハード,リアル系  
20,2001年宇宙の旅,ファンタジー/SF系  
21,地獄の黙示録,リアル系  
22,ロード・オブ・ザ・リング　2つの塔,ファンタジー/SF系  
23,マトリックス,ファンタジー/SF系  
24,ターミネーター2,ファンタジー/SF系  
25,ヒート,リアル系  
26,続　夕陽のガンマン,リアル系  
27,カサブランカ,リアル系  
28,ビッグ・リボウスキ,リアル系  
29,セブン,リアル系  
30,タクシー・ドライバー,リアル系  
31,ユージュアル・サスペクツ,リアル系  
32,シンドラーのリスト,リアル系  
33,ガーディアンズ・オブ・ギャラクシー,ファンタジー/SF系  
34,シャイニング,ファンタジー/SF系  
35,ディパーテッド,リアル系  
36,遊星からの物体Ｘ,ファンタジー/SF系  
37,マッドマックス　怒りのデスロード,ファンタジー/SF系  
38,プライベート・ライアン,リアル系  
39,12人の怒れる男,リアル系  
40,エターナル・サンシャイン,ファンタジー/SF系  
41,ゼア・ウィル・ビー・ブラッド,リアル系  
42,カッコーの巣の上で,リアル系  
43,グラディエーター,リアル系  
44,ドライヴ,リアル系  
45,市民ケーン,リアル系  
46,インターステラー,ファンタジー/SF系  
47,羊たちの沈黙,リアル系  
48,トレイン・スポッティング,リアル系  
49,アラビアのロレンス,リアル系  
50,素晴らしき哉、人生！,ファンタジー/SF系  
51,ウエスタン,リアル系  
52,サイコ,リアル系  
53,めまい,リアル系  
54,パンズ・ラビリンス,ファンタジー/SF系  
55,レザボア・ドッグス,リアル系  
56,セッション,リアル系  
57,イングロリアス・バスターズ,リアル系  
58,E.T,ファンタジー/SF系  
59,アメリカン・ビューティ,リアル系  
60,フォレスト・ガンプ,リアル系  
61,ラ・ラ・ランド,リアル系  
62,ドニー・ダーコ,ファンタジー/SF系  
63,L.A.コンフィデンシャル,リアル系  
64,アベンジャーズ,ファンタジー/SF系  
65,スター・ウォーズ　ジェダイの帰還,ファンタジー/SF系  
66,メメント,リアル系  
67,ゴーストバスターズ,ファンタジー/SF系  
68,雨に唄えば,リアル系  
69,ライオン・キング,ファンタジー/SF系  
70,ホットファズ　俺たちスーパーポリスメン！,リアル系  
71,裏窓,リアル系  
72,7人の侍,リアル系  
73,マルホランド・ドライブ,リアル系  
74,ファーゴ,リアル系  
75,時計じかけのオレンジ,リアル系  
76,トイ・ストーリー,ファンタジー/SF系  
77,オールド・ボーイ,リアル系  
78,キャプテン・アメリカ　シビル・ウォー,ファンタジー/SF系  
79,千と千尋の神隠し,ファンタジー/SF系  
80,ソーシャル・ネットワーク,リアル系  
81,お熱いのがお好き,リアル系  
82,トゥルー・ロマンス,リアル系  
83,ロッキー,リアル系  
84,レオン,リアル系  
85,インディ・ジョーンズ　最後の聖戦,ファンタジー/SF系  
86,プレデター,ファンタジー/SF系  
87,エクソシスト,ファンタジー/SF系  
88,ショーン・オブ・ザ・デッド,ファンタジー/SF系  
89,ノーカントリー,リアル系  
90,プレステージ,ファンタジー/SF系  
91,ターミネーター,ファンタジー/SF系  
92,プリンセス・ブライド・ストーリー,ファンタジー/SF系  
93,ロスト・イン・トランスレーション,リアル系  
94,メッセージ,ファンタジー/SF系  
95,グッド・ウィル・ハンティング,リアル系  
96,タイタニック,リアル系  
97,アメリ,リアル系  
98,レイジング・ブル,リアル系  
99,スタンド・バイ・ミー,リアル系  
